פירושונים רק בעברית
[[:יזהר כהן (פירושונים)]]	יזהר כהן (פירושונים)
[[:ברטוב]]	ברטוב
[[:סנונית (פירושונים)]]	סנונית (פירושונים)
[[:בארו (פירושונים)]]	בארו (פירושונים)
[[:גלית (פירושונים)]]	גלית (פירושונים)
[[:דין (פירושונים)]]	דין (פירושונים)
[[:פולי (פירושונים)]]	פולי (פירושונים)
[[:רו (פירושונים)]]	רו (פירושונים)
[[:קוקס (פירושונים)]]	קוקס (פירושונים)
[[:קיאה (פירושונים)]]	קיאה (פירושונים)
[[:אש (פירושונים)]]	אש (פירושונים)
[[:בק (פירושונים)]]	בק (פירושונים)
[[:בת יענה]]	בת יענה
[[:בכר]]	בכר
[[:הרמן]]	הרמן
[[:מטר (פירושונים)]]	מטר (פירושונים)
[[:ברוקה]]	ברוקה
[[:ליבר (פירושונים)]]	ליבר (פירושונים)
[[:ריאל]]	ריאל
[[:נווה (פירושונים)]]	נווה (פירושונים)
[[:קלוגה]]	קלוגה
[[:פתיחה]]	פתיחה
[[:גול (פירושונים)]]	גול (פירושונים)
[[:אפל (פירושונים)]]	אפל (פירושונים)
[[:מחט (פירושונים)]]	מחט (פירושונים)
[[:אחדות]]	אחדות
[[:אדווה]]	אדווה
[[:נצח ישראל (פירושונים)]]	נצח ישראל (פירושונים)
[[:הלילה]]	הלילה
[[:מחסום]]	מחסום
[[:מחוז ולגה]]	מחוז ולגה
[[:מילק]]	מילק
[[:שליש]]	שליש
[[:טורק]]	טורק
[[:דאפי]]	דאפי
[[:קסדה (פירושונים)]]	קסדה (פירושונים)
[[:התעוררות]]	התעוררות
[[:שמות (פירושונים)]]	שמות (פירושונים)
[[:השפלה (פירושונים)]]	השפלה (פירושונים)
[[:לתת (פירושונים)]]	לתת (פירושונים)
[[:רשע]]	רשע
[[:אונס (פירושונים)]]	אונס (פירושונים)
[[:מישר (פירושונים)]]	מישר (פירושונים)
[[:וה (פירושונים)]]	וה (פירושונים)
[[:קאר]]	קאר
[[:שמי]]	שמי
[[:עוז (פירושונים)]]	עוז (פירושונים)
[[:ניתאי]]	ניתאי
[[:עיר גנים (פירושונים)]]	עיר גנים (פירושונים)
[[:של (פירושונים)]]	של (פירושונים)
[[:ארגז]]	ארגז
[[:מארי (פירושונים)]]	מארי (פירושונים)
[[:אחרית הימים (פירושונים)]]	אחרית הימים (פירושונים)
[[:קדם (פירושונים)]]	קדם (פירושונים)
[[:סידר]]	סידר
[[:ימ"א]]	ימ"א
[[:ייטס (פירושונים)]]	ייטס (פירושונים)
[[:ברי (פירושונים)]]	ברי (פירושונים)
[[:פארן (פירושונים)]]	פארן (פירושונים)
[[:יצירה (פירושונים)]]	יצירה (פירושונים)
[[:רובן]]	רובן
[[:פניני]]	פניני
[[:שחרור (פירושונים)]]	שחרור (פירושונים)
[[:ענבה (פירושונים)]]	ענבה (פירושונים)
[[:קרפ (פירושונים)]]	קרפ (פירושונים)
[[:אליס (פירושונים)]]	אליס (פירושונים)
[[:אח בוגר]]	אח בוגר
[[:ארנבת (פירושונים)]]	ארנבת (פירושונים)
[[:טוט]]	טוט
[[:מאנדי]]	מאנדי
[[:בכור (פירושונים)]]	בכור (פירושונים)
[[:בניה (פירושונים)]]	בניה (פירושונים)
[[:לסקוב]]	לסקוב
[[:ראזי (פירושונים)]]	ראזי (פירושונים)
[[:בון (פירושונים)]]	בון (פירושונים)
[[:בישול (פירושונים)]]	בישול (פירושונים)
